	Gene	merge1
479	AT1G05490.Araport11.447	19
480	AT1G05500.Araport11.447	1909
481	AT1G05510.Araport11.447	1
482	AT1G05520.Araport11.447	532
483	AT1G05530.Araport11.447	276
484	AT1G05540.Araport11.447	5
485	AT1G05550.Araport11.447	6
486	AT1G05560.Araport11.447	1897
487	AT1G05570.Araport11.447	1101
488	AT1G05575.Araport11.447	452
489	AT1G05577.Araport11.447	67
490	AT1G05580.Araport11.447	4
491	AT1G05590.Araport11.447	565
492	AT1G05600.Araport11.447	47
493	AT1G05610.Araport11.447	13
494	AT1G05615.Araport11.447	1
495	AT1G05620.Araport11.447	2925
496	AT1G05630.Araport11.447	118
497	AT1G05640.Araport11.447	31
498	AT1G05650.Araport11.447	1887
499	AT1G05660.Araport11.447	881
500	AT1G05670.Araport11.447	66
501	AT1G05675.Araport11.447	13
502	AT1G05680.Araport11.447	3720
503	AT1G05690.Araport11.447	25
504	AT1G05700.Araport11.447	64
505	AT1G05710.Araport11.447	1043
506	AT1G05720.Araport11.447	1706
507	AT1G05730.Araport11.447	151
508	AT1G05740.Araport11.447	0
509	AT1G05750.Araport11.447	32
510	AT1G05760.Araport11.447	0
511	AT1G05770.Araport11.447	87
512	AT1G05780.Araport11.447	643
513	AT1G05783.Araport11.447	17
514	AT1G05785.Araport11.447	1265
515	AT1G05790.Araport11.447	402
516	AT1G05800.Araport11.447	4
517	AT1G05805.Araport11.447	491
518	AT1G05810.Araport11.447	1158
519	AT1G05820.Araport11.447	65
520	AT1G05830.Araport11.447	293
521	AT1G05835.Araport11.447	186
522	AT1G05840.Araport11.447	1220
523	AT1G05850.Araport11.447	9466
524	AT1G05860.Araport11.447	483
525	AT1G05870.Araport11.447	802
526	AT1G05880.Araport11.447	6
527	AT1G05890.Araport11.447	871
528	AT1G05894.Araport11.447	12
529	AT1G05900.Araport11.447	300
530	AT1G05910.Araport11.447	332
531	AT1G05920.Araport11.447	0
532	AT1G05930.Araport11.447	0
533	AT1G05940.Araport11.447	978
534	AT1G05950.Araport11.447	78
535	AT1G05960.Araport11.447	886
536	AT1G05970.Araport11.447	450
537	AT1G05990.Araport11.447	65
538	AT1G06000.Araport11.447	1300
539	AT1G06010.Araport11.447	357
540	AT1G06020.Araport11.447	14
541	AT1G06030.Araport11.447	13
542	AT1G06040.Araport11.447	2138
543	AT1G06045.Araport11.447	0
544	AT1G06050.Araport11.447	285
545	AT1G06060.Araport11.447	485
546	AT1G06070.Araport11.447	253
547	AT1G06080.Araport11.447	189
548	AT1G06090.Araport11.447	1518
549	AT1G06100.Araport11.447	15
550	AT1G06110.Araport11.447	3718
551	AT1G06120.Araport11.447	758
552	AT1G06130.Araport11.447	768
553	AT1G06135.Araport11.447	2
554	AT1G06137.Araport11.447	0
555	AT1G06140.Araport11.447	48
556	AT1G06143.Araport11.447	86
557	AT1G06150.Araport11.447	127
558	AT1G06148.Araport11.447	19
559	AT1G06160.Araport11.447	3
560	AT1G06170.Araport11.447	20
561	AT1G06180.Araport11.447	245
562	AT1G06190.Araport11.447	531
563	AT1G06200.Araport11.447	4098
564	AT1G06210.Araport11.447	1742
565	AT1G06220.Araport11.447	1600
566	AT1G06225.Araport11.447	1
567	AT1G06230.Araport11.447	760
568	AT1G06240.Araport11.447	220
569	AT1G06250.Araport11.447	7
570	AT1G06260.Araport11.447	9
571	AT1G06270.Araport11.447	176
572	AT1G06280.Araport11.447	6
573	AT1G06290.Araport11.447	1316
574	AT1G06310.Araport11.447	120
575	AT1G06320.Araport11.447	22
576	AT1G06330.Araport11.447	45
577	AT1G06340.Araport11.447	7
578	AT1G06350.Araport11.447	7
579	AT1G06360.Araport11.447	6
580	AT1G06380.Araport11.447	465
581	AT1G06390.Araport11.447	2790
582	AT1G06400.Araport11.447	2511
583	AT1G06410.Araport11.447	1574
584	AT1G06420.Araport11.447	73
585	AT1G06430.Araport11.447	497
586	AT1G06440.Araport11.447	44
587	AT1G06450.Araport11.447	146
